iter,diffusion,ULA,tempering,dilation,DAZ
0,0.99,0.99,0.99,0.99,0.99
6,0.13840972,0.13840972,0.7307228,0.9899338,0.1200586
13,0.08259991,0.08259991,0.707287,0.98985606,0.06631775
19,0.063489966,0.063489966,0.68937254,0.98978895,0.05226036
26,0.05090962,0.05090962,0.6704152,0.9897101,0.043610606
32,0.04391719,0.04391719,0.65550786,0.989642,0.038874462
39,0.038103607,0.038103607,0.6393994,0.98956203,0.034928467
46,0.03381078,0.03381078,0.62445086,0.98948145,0.031989582
52,0.030917147,0.030917147,0.61242574,0.9894119,0.029988298
59,0.028175274,0.028175274,0.5991929,0.9893301,0.028071608
65,0.026224345,0.026224345,0.5884532,0.9892595,0.026693068
72,0.024296725,0.024296725,0.5765461,0.98917663,0.025316797
78,0.022877345,0.022877345,0.5668194,0.9891051,0.024293158
85,0.021435283,0.021435283,0.5559752,0.98902094,0.023243219
92,0.020178348,0.020178348,0.5456221,0.98893625,0.022319064
98,0.019221228,0.019221228,0.5371044,0.9888631,0.021609219
105,0.018220816,0.018220816,0.5275477,0.98877716,0.02086115
111,0.017447611,0.017447611,0.5196578,0.988703,0.02027841
118,0.016628942,0.016628942,0.51077795,0.9886159,0.019656748
124,0.015988862,0.015988862,0.5034259,0.9885406,0.019167181
131,0.015304186,0.015304186,0.49512994,0.9884522,0.018639892
138,0.014677685,0.014677685,0.48711696,0.9883631,0.018153954
144,0.014181237,0.014181237,0.48045945,0.9882862,0.017766437
151,0.013643744,0.013643744,0.4729231,0.98819596,0.017344296
157,0.013214932,0.013214932,0.46665,0.98811793,0.017005501
164,0.012747798,0.012747798,0.4595366,0.9880263,0.016634312
170,0.012372982,0.012372982,0.45360613,0.9879472,0.01633482
177,0.011962538,0.011962538,0.44687113,0.98785436,0.016005088
184,0.011578208,0.011578208,0.4403241,0.98776066,0.015694585
190,0.011267608,0.011267608,0.43485436,0.9876799,0.015442381
197,0.010925227,0.010925227,0.42863062,0.98758495,0.015162983
203,0.010647466,0.010647466,0.423425,0.987503,0.014935223
210,0.010340188,0.010340188,0.41749537,0.9874067,0.014682059
216,0.010090052,0.010090052,0.41253063,0.9873236,0.014475031
223,0.009812466,0.009812466,0.40686986,0.9872259,0.014244237
230,0.009549021,0.009549021,0.40134466,0.9871275,0.01402415
236,0.00933362,0.00933362,0.39671212,0.98704255,0.013843425
243,0.009093583,0.009093583,0.39142326,0.98694277,0.013641162
249,0.008896834,0.008896834,0.3869854,0.98685664,0.013474692
256,0.008677063,0.008677063,0.38191494,0.98675543,0.013287975
262,0.008496522,0.008496522,0.3776573,0.98666805,0.013133981
269,0.008294439,0.008294439,0.37278944,0.9865654,0.012960907
276,0.008100965,0.008100965,0.36802474,0.986462,0.012794518
282,0.007941548,0.007941548,0.36401984,0.9863727,0.012656889
289,0.007762596,0.007762596,0.3594367,0.9862678,0.012501812
295,0.0076148966,0.0076148966,0.3555822,0.9861773,0.01237333
302,0.0074488265,0.0074488265,0.35116872,0.98607093,0.012228343
308,0.0073115416,0.0073115416,0.347455,0.9859791,0.01210804
315,0.007156952,0.007156952,0.34320053,0.98587126,0.011972079
322,0.00700803,0.00700803,0.3390275,0.98576254,0.011840603
328,0.0068846545,0.0068846545,0.3355136,0.9856687,0.011731285
335,0.006745437,0.006745437,0.33148512,0.9855585,0.011607511
341,0.0066299555,0.0066299555,0.32809135,0.9854634,0.01150448
348,0.006499489,0.006499489,0.324199,0.9853516,0.011387687
354,0.006391137,0.006391137,0.32091862,0.9852551,0.011290358
361,0.0062685907,0.0062685907,0.31715482,0.9851417,0.011179902
368,0.006150002,0.006150002,0.3134573,0.98502755,0.011072638
374,0.0060513588,0.0060513588,0.31033927,0.9849289,0.010983112
381,0.005939614,0.005939614,0.30675977,0.9848131,0.0108813625
387,0.005846576,0.005846576,0.30374014,0.98471314,0.010796363
394,0.005741079,0.005741079,0.30027264,0.9845957,0.010699681
401,0.005638725,0.005638725,0.29686302,0.98447734,0.010605547
407,0.005553383,0.005553383,0.2939854,0.9843752,0.010526808
414,0.0054564956,0.0054564956,0.29067922,0.9842552,0.010437125
420,0.005375647,0.005375647,0.28788808,0.98415154,0.010362058
427,0.0052837874,0.0052837874,0.28468034,0.9840299,0.010276495
433,0.005207076,0.005207076,0.28197154,0.98392487,0.010204814
440,0.0051198527,0.0051198527,0.2788576,0.98380136,0.010123059
447,0.0050349757,0.0050349757,0.2757924,0.9836771,0.010043236
453,0.004964021,0.004964021,0.2732029,0.98356974,0.009976304
460,0.004883264,0.004883264,0.27022505,0.9834436,0.009899876
466,0.0048157033,0.0048157033,0.26770878,0.98333484,0.009835748
473,0.0047387555,0.0047387555,0.26481438,0.9832069,0.009762486
479,0.0046743485,0.0046743485,0.26236805,0.98309654,0.009700982
486,0.004600947,0.004600947,0.2595535,0.9829669,0.009630672
493,0.0045293523,0.0045293523,0.25678056,0.98283625,0.009561869
499,0.004469375,0.004469375,0.25443608,0.9827235,0.0095040575
506,0.0044009606,0.0044009606,0.25173786,0.98259103,0.009437916
512,0.004343617,0.004343617,0.24945614,0.98247665,0.009382316
519,0.0042781723,0.0042781723,0.24682957,0.98234236,0.009318678
525,0.004223292,0.004223292,0.24460804,0.9822264,0.009265142
532,0.004160631,0.004160631,0.24205032,0.9820901,0.009203837
539,0.004099395,0.004099395,0.23952852,0.98195297,0.009143738
545,0.0040480033,0.0040480033,0.23739502,0.9818345,0.00909315
552,0.003989285,0.003989285,0.23493795,0.9816953,0.009035173
558,0.003939984,0.003939984,0.23285884,0.9815752,0.008986354
565,0.0038836303,0.0038836303,0.23046409,0.9814341,0.008930386
571,0.0038362932,0.0038362932,0.22843733,0.9813123,0.00888324
578,0.0037821643,0.0037821643,0.22610247,0.9811692,0.008829164
585,0.0037291793,0.0037291793,0.22379895,0.98102504,0.0087760715
591,0.0036846453,0.0036846453,0.221849,0.9809006,0.008731313
598,0.0036336903,0.0036336903,0.21960206,0.98075444,0.008679963
604,0.0035908513,0.0035908513,0.21769977,0.9806282,0.00863665
611,0.0035418149,0.0035418149,0.2155074,0.98048,0.008586934
617,0.0035005715,0.0035005715,0.21365103,0.9803521,0.008544997
624,0.0034533457,0.0034533457,0.21151136,0.9802018,0.008496841
631,0.0034070543,0.0034070543,0.20939921,0.9800504,0.008449489
637,0.0033680995,0.0033680995,0.20761044,0.9799197,0.008409527
644,0.003323472,0.003323472,0.20554829,0.97976613,0.008363615
650,0.0032859056,0.0032859056,0.20380154,0.9796336,0.008324858
657,0.0032428561,0.0032428561,0.2017876,0.97947794,0.008280311
663,0.0032066072,0.0032066072,0.20008151,0.9793436,0.00824269
670,0.0031650553,0.0031650553,0.19811422,0.97918576,0.008199443
677,0.003124277,0.003124277,0.19617139,0.97902673,0.008156867
683,0.003089924,0.003089924,0.19452524,0.97888947,0.008120899
690,0.0030505313,0.0030505313,0.1926267,0.97872823,0.008079531
696,0.0030173345,0.0030173345,0.19101791,0.97858906,0.008044572
703,0.002979255,0.002979255,0.18916228,0.97842556,0.008004357
709,0.0029471598,0.0029471598,0.18758968,0.9782845,0.007970361
716,0.0029103337,0.0029103337,0.18577562,0.9781187,0.007931243
723,0.0028741567,0.0028741567,0.18398343,0.97795177,0.007892686
729,0.0028436522,0.0028436522,0.18246429,0.9778076,0.0078600785
736,0.0028086388,0.0028086388,0.18071163,0.9776383,0.007822546
742,0.0027791092,0.0027791092,0.17922592,0.97749215,0.0077908076
