iter,diffusion,ULA,tempering,dilation,DAZ
0,0.0,0.0,0.0,0.0,0.0
65,18.776318,0.07222223,1.4721075,0.00072476995,20.19752
131,23.99489,0.14555557,2.0404594,0.0014660107,26.220686
197,27.054434,0.21888892,2.4751484,0.002212651,29.052998
262,29.19134,0.29111114,2.837193,0.0029532954,30.824741
328,30.87528,0.3644445,3.1625633,0.0037107693,32.147083
394,32.25153,0.43777785,3.4580128,0.0044737607,33.19146
459,33.400898,0.51000005,3.7270217,0.0052306214,34.042683
525,34.415783,0.58333343,3.9826376,0.006004681,34.780144
591,35.314228,0.65666676,4.223905,0.0067843767,35.42259
656,36.10972,0.728889,4.449843,0.0075578084,35.98359
722,36.844383,0.8022223,4.669192,0.008348811,36.49527
788,37.51847,0.8755557,4.879792,0.009145575,36.95938
854,38.1419,0.948889,5.0827584,0.009948136,37.38402
919,38.713833,1.0211112,5.2760553,0.0107442485,37.769684
985,39.257847,1.0944446,5.4663625,0.011558447,38.133022
1051,39.769714,1.1677779,5.651267,0.01237857,38.471714
1116,40.246265,1.2400001,5.828594,0.0131921,38.784245
1182,40.70541,1.3133335,6.0042353,0.014024109,39.082783
1248,41.142345,1.3866669,6.1758113,0.014862183,39.36447
1313,41.55321,1.4588891,6.341131,0.015693512,39.627197
1379,41.95257,1.5322224,6.505568,0.01654372,39.880547
1445,42.335724,1.6055558,6.666804,0.017400112,40.121666
1510,42.698593,1.677778,6.8226876,0.018249616,40.34828
1576,43.053623,1.7511114,6.9782143,0.019118419,40.56833
1642,43.396236,1.8244447,7.1311426,0.019993536,40.779102
1708,43.727425,1.897778,7.2816343,0.020875018,40.98132
1773,44.04327,1.9700003,7.427606,0.021749409,41.172813
1839,44.35427,2.0433335,7.573682,0.02264366,41.360016
1905,44.656162,2.116667,7.717714,0.02354441,41.540462
1970,44.94522,2.1888893,7.857677,0.02443791,41.71202
2036,45.230843,2.2622225,7.9979763,0.025351701,41.880394
2102,45.509045,2.3355558,8.136536,0.026272131,42.04329
2167,45.776226,2.407778,8.2713785,0.027185155,42.19868
2233,46.04103,2.4811115,8.406733,0.028118905,42.351673
2299,46.29967,2.5544448,8.540585,0.02905944,42.500126
2364,46.548717,2.626667,8.671006,0.029992405,42.64214
2430,46.79613,2.7000003,8.802071,0.030946553,42.78233
2496,47.03835,2.7733338,8.931818,0.031907637,42.918694
2562,47.275635,2.846667,9.060306,0.03287569,43.051437
2627,47.504753,2.9188893,9.185664,0.03383595,43.178806
2693,47.732975,2.9922225,9.311799,0.034818012,43.304905
2759,47.95697,3.065556,9.436816,0.035807204,43.4279
2824,48.173615,3.1377783,9.558887,0.036788423,43.546143
2890,48.38978,3.2111115,9.6818075,0.03779192,43.663414
2956,48.602264,3.2844448,9.803732,0.0388027,43.77799
3021,48.808098,3.356667,9.922869,0.03980533,43.888325
3087,49.013767,3.4300005,10.042915,0.040830724,43.997917
3153,49.216198,3.5033338,10.162064,0.041863553,44.105156
3219,49.415543,3.576667,10.280344,0.042903878,44.210148
3284,49.608974,3.6488893,10.396015,0.043935817,44.31143
3350,49.802547,3.7222228,10.512654,0.044991177,44.412216
3416,49.993385,3.795556,10.6285095,0.046054192,44.511017
3481,50.178764,3.8677783,10.74186,0.04710863,44.606438
3547,50.36448,3.9411116,10.856222,0.048187006,44.701504
3613,50.547752,4.014445,10.969867,0.0492732,44.794796
3678,50.72595,4.086667,11.081111,0.050350625,44.885006
3744,50.90464,4.1600003,11.193392,0.051452506,44.974968
3810,51.08113,4.233334,11.305016,0.05256236,45.06334
3875,51.252888,4.3055563,11.414324,0.05366326,45.148865
3941,51.42525,4.3788896,11.524695,0.0547891,45.23424
4007,51.59564,4.452223,11.634462,0.055923164,45.318188
4073,51.764122,4.525556,11.743641,0.057065416,45.40074
4138,51.928238,4.5977783,11.850606,0.05819845,45.480732
4204,52.093098,4.6711116,11.958663,0.059357185,45.56067
4270,52.25622,4.744445,12.0661745,0.06052432,45.639347
4335,52.41522,4.816667,12.171539,0.06168203,45.715645
4401,52.575054,4.890001,12.278012,0.062865995,45.79194
4467,52.733307,4.963334,12.383981,0.06405854,45.867085
4532,52.88765,5.0355563,12.487863,0.06524146,45.940002
4598,53.042885,5.1088896,12.592867,0.0664512,46.012978
4664,53.19667,5.182223,12.697403,0.06766968,46.084904
4729,53.34676,5.254445,12.799906,0.06887833,46.154736
4795,53.497784,5.3277783,12.903541,0.07011438,46.22466
4861,53.647476,5.4011116,13.006738,0.07135938,46.293617
4927,53.795876,5.4744453,13.1095085,0.07261338,46.36164
4992,53.940784,5.5466676,13.210311,0.07385724,46.427734
5058,54.086708,5.620001,13.312263,0.07512932,46.493973
5124,54.231434,5.693334,13.413812,0.076410584,46.559334
5189,54.372814,5.7655563,13.513439,0.07768149,46.622894
5255,54.515255,5.8388896,13.614219,0.078981206,46.68661
5321,54.656574,5.912223,13.714623,0.080290325,46.74952
5386,54.7947,5.984445,13.813149,0.08158886,46.81071
5452,54.933914,6.0577784,13.912832,0.082916826,46.872086
5518,55.072094,6.131112,14.012163,0.08425438,46.93272
5583,55.207195,6.2033343,14.109651,0.08558112,46.991726
5649,55.3434,6.2766676,14.208303,0.08693792,47.05093
5715,55.478653,6.350001,14.306624,0.08830452,47.109444
5781,55.612965,6.423334,14.404618,0.089681,47.167294
5846,55.744347,6.4955564,14.500816,0.09104632,47.223602
5912,55.87687,6.5688896,14.598185,0.09244259,47.280148
5978,56.00851,6.642223,14.695244,0.09384893,47.336052
6043,56.137325,6.714445,14.79054,0.095243886,47.39052
6109,56.267296,6.787779,14.887009,0.09667044,47.445206
6175,56.396446,6.861112,14.983187,0.0981073,47.499313
6240,56.522854,6.9333344,15.077629,0.09953253,47.55204
6306,56.65043,7.0066676,15.173244,0.10099004,47.604996
6372,56.77724,7.080001,15.268588,0.10245805,47.657402
