x,ULA,dilation,tempering,diffusion,daz
-2.7060237,0.0,0.0,0.0,0.04557008,0.0819137
-2.648439,0.020843016,0.0,0.0,0.038559295,0.13533568
-2.5908542,0.03821219,0.0,0.0,0.08412938,0.1032825
-2.5332694,0.03821219,0.0070621003,0.0,0.10516172,0.11752836
-2.4756846,0.14242727,0.0,0.010421508,0.05959164,0.16026594
-2.4180999,0.232747,0.014124201,0.017369179,0.15423718,0.22081086
-2.360515,0.41338646,0.028248401,0.041686032,0.1507318,0.23861818
-2.3029304,0.63571197,0.070621,0.034738358,0.14372101,0.21368793
-2.2453456,0.930988,0.141242,0.12158425,0.20681804,0.22437231
-2.1877608,1.2957407,0.22598721,0.21537782,0.17877492,0.2671099
-2.130176,1.6153404,0.4413831,0.31264654,0.23486213,0.16382809
-2.0725915,1.8063946,0.5684991,0.3508574,0.25589353,0.26354843
-2.0150068,1.9592392,0.9427885,0.59402466,0.24888222,0.21368748
-1.9574219,1.9592433,1.2464607,0.7503485,0.24537735,0.22437231
-1.8998371,1.6848104,1.3523922,0.910145,0.24888273,0.21012646
-1.8422525,1.4034326,1.6807834,0.97614986,0.29445344,0.25642604
-1.7846677,1.142892,1.483041,0.97962165,0.31197977,0.21724938
-1.727083,0.8649851,1.3382679,1.0560461,0.23836656,0.19588059
-1.6694982,0.486337,1.1617155,0.9240403,0.2664097,0.1638274
-1.6119134,0.32306674,1.0381289,0.77466536,0.23135577,0.13177422
-1.5543287,0.17369178,0.7309274,0.6009736,0.23836656,0.18875767
-1.4967439,0.10421507,0.55437493,0.47244167,0.22785039,0.11752836
-1.4391592,0.06600288,0.38488448,0.2987499,0.21032344,0.13533568
-1.3815744,0.017369179,0.21539406,0.22579932,0.19630188,0.1032825
-1.3239896,0.0034738358,0.077683106,0.083372064,0.19279648,0.0819137
-1.2664049,0.0,0.031779453,0.03126452,0.16475336,0.06766784
-1.2088201,0.0,0.010593172,0.031264585,0.1647537,0.053422093
-1.1512355,0.0,0.0070621003,0.013895343,0.14021562,0.05342198
-1.0936507,0.0,0.0,0.0034738358,0.12969945,0.03917612
-1.0360659,0.0,0.0,0.0,0.10516172,0.028491722
-0.9784812,0.0,0.0,0.0034738358,0.13671023,0.03561465
-0.9208964,0.0,0.0,0.0,0.087634765,0.06054491
-0.86331165,0.0,0.0,0.0,0.08412938,0.11396689
-0.8057269,0.0,0.0,0.0,0.11918328,0.11040543
-0.7481421,0.0,0.0,0.0,0.17176431,0.14245875
-0.6905574,0.0,0.0,0.0,0.15774257,0.17807327
-0.63297266,0.0,0.0,0.0,0.16475336,0.18163474
-0.5753879,0.0,0.0,0.0,0.20681804,0.28135577
-0.51780313,0.0,0.0,0.0,0.18929118,0.25998712
-0.4602184,0.0,0.0,0.0,0.25589353,0.32053187
-0.40263364,0.0,0.0,0.0,0.25589353,0.38463825
-0.3450489,0.0,0.003531052,0.010421514,0.29445297,0.37751552
-0.28746414,0.0,0.014124201,0.017369179,0.30847436,0.50928956
-0.22987938,0.0,0.024717359,0.09726743,0.35404456,0.47011355
-0.17229465,0.0,0.12358679,0.25011623,0.38909847,0.47723648
-0.114709884,0.0,0.34251192,0.5141278,0.38208765,0.573396
-0.057125136,0.0034738365,0.40253982,0.8788806,0.40312,0.527097
0.000459617,0.0034738365,0.45903662,0.9240405,0.34703374,0.54134285
0.058044367,0.0,0.39194667,0.80593014,0.38909847,0.50216675
0.1156292,0.0,0.3142626,0.49675712,0.35754883,0.58407867
0.17321405,0.0,0.11652468,0.25706393,0.3855931,0.56627315
0.23079878,0.0,0.024717359,0.1320058,0.35404456,0.47723648
0.28838354,0.0,0.0,0.010421508,0.26991507,0.44162172
0.3459683,0.0,0.003531052,0.010421514,0.28744218,0.47367513
0.40355304,0.0,0.0,0.0034738358,0.23135577,0.3383392
0.46113777,0.0,0.0,0.0,0.19630197,0.2956018
0.51872253,0.0,0.0,0.0,0.18929109,0.24930257
0.5763073,0.0,0.0,0.0034738358,0.20331265,0.2564255
0.63389206,0.0,0.0,0.0034738358,0.13671023,0.18519619
0.6914768,0.0,0.0,0.0,0.14372101,0.1745118
0.7490616,0.0,0.0,0.0,0.11217261,0.1495817
0.8066463,0.0,0.0,0.0,0.101656325,0.1032825
0.86423105,0.0,0.0035310502,0.0,0.10516172,0.08547517
0.9218158,0.0,0.0035310502,0.0,0.09815094,0.089036636
0.9794005,0.0,0.0035310537,0.017369198,0.091140255,0.035614688
1.0369853,0.0,0.0,0.017369179,0.073613204,0.046299048
1.09457,0.0,0.014124201,0.027790686,0.09114016,0.017807325
1.1521548,0.0,0.0,0.020843016,0.09815094,0.010684396
1.2097396,0.0,0.024717351,0.041686032,0.094645545,0.05342198
1.2673243,0.0,0.0353105,0.045159865,0.12619406,0.06054491
1.3249091,0.0,0.024717351,0.10421507,0.13671023,0.049860515
1.3824939,0.0,0.045903653,0.12505808,0.16825876,0.06054491
1.4400786,0.0,0.056496803,0.15632261,0.13671023,0.06054491
1.4976633,0.0,0.07062115,0.14937524,0.19980769,0.053422093
1.555248,0.0,0.08121415,0.14590111,0.19980727,0.08547517
1.6128328,0.0,0.06708995,0.22232549,0.18228032,0.06766784
1.6704175,0.0,0.06708995,0.19106098,0.18228032,0.092598096
1.7280023,0.0,0.1341799,0.232747,0.15774257,0.056983445
1.7855871,0.0,0.10240046,0.21190399,0.21382883,0.10684396
1.8431718,0.0,0.10240046,0.19800863,0.17526953,0.06766784
1.9007566,0.0,0.08827625,0.232747,0.14722641,0.0819137
1.9583414,0.0,0.08827625,0.232747,0.15774257,0.1032825
2.0159261,0.0,0.06355891,0.17716561,0.14021562,0.11752836
2.073511,0.0,0.056496803,0.12158425,0.16825876,0.07835224
2.1310956,0.0,0.052965757,0.11463658,0.10516172,0.09972103
2.1886804,0.0,0.06355891,0.11463658,0.14021562,0.09615956
2.2462652,0.0,0.042372603,0.069476716,0.17877492,0.0819137
2.30385,0.0,0.045903653,0.06252904,0.11918328,0.06766784
2.3614347,0.0,0.01765525,0.020843016,0.08412938,0.06766784
2.4190192,0.0,0.0035310648,0.027790802,0.06309729,0.07479109
2.476604,0.0,0.0070621003,0.010421508,0.066602424,0.049860515
2.5341887,0.0,0.0035310502,0.0034738358,0.035053905,0.06054491
2.5917735,0.0,0.0070621003,0.0069476715,0.06309703,0.049860515
2.6493583,0.0,0.0070621003,0.0,0.05608625,0.024930257
2.706943,0.0,0.0035310502,0.0069476715,0.038559295,0.05342198
2.7645278,0.0,0.0035310502,0.0034738358,0.028043125,0.03561465
2.8221126,0.0,0.0,0.0034738358,0.021032345,0.032053187
2.8796973,0.0,0.0,0.0,0.017526953,0.042737585
2.937282,0.0,0.0,0.0,0.010516172,0.021368792
2.9948668,0.0,0.0,0.0,0.014021562,0.010684396
